timestamp,query,source,count,duration_ms
2026-07-30T13:39:24.180677,raspberry pi 5 specs,web,0,238
2026-07-30T13:39:24.668714,tensorflow,github,3,329
2026-07-30T13:39:33.149519,debian linux,torrent,0,9009
2026-07-30T13:39:33.149530,debian linux,youtube,0,9009
2026-07-30T13:39:33.149534,debian linux,web,0,9009
2026-07-30T13:39:33.149537,debian linux,github,3,9009
2026-07-30T13:41:57.417247,llama.cpp,github,3,385
2026-07-30T13:42:36.490051,neural networks,torrent,0,10018
2026-07-30T13:42:36.490066,neural networks,youtube,0,10018
2026-07-30T13:42:36.490071,neural networks,web,0,10018
2026-07-30T13:42:36.490075,neural networks,github,2,10018
2026-07-30T13:46:54.514889,python tutorial,youtube,3,2929
2026-07-30T13:48:25.019827,machine learning,torrent,0,13923
2026-07-30T13:48:25.019841,machine learning,youtube,3,13923
2026-07-30T13:48:25.019846,machine learning,web,0,13923
2026-07-30T13:48:25.019849,machine learning,github,3,13923
2026-07-30T13:51:57.724184,linux,torrent,0,13001
2026-07-30T13:51:57.724198,linux,youtube,3,13001
2026-07-30T13:51:57.724202,linux,web,3,13001
2026-07-30T13:51:57.724205,linux,github,3,13001
2026-07-30T13:52:45.343079,climate change solutions,web,3,2699
2026-07-30T13:54:52.030964,ubuntu 24.04,torrent,3,7255
2026-07-30T13:55:33.004222,python,torrent,3,12849
2026-07-30T13:55:33.004236,python,youtube,3,12849
2026-07-30T13:55:33.004241,python,web,3,12849
2026-07-30T13:55:33.004244,python,github,3,12849
2026-07-30T13:57:25.380284,ubuntu 24.04,torrent,3,6951
2026-07-30T13:58:19.394102,debian,torrent,3,7180
2026-07-30T14:00:25.564495,debian,torrent,3,21024
2026-07-30T14:00:25.564510,debian,youtube,3,21024
2026-07-30T14:00:25.564515,debian,web,3,21024
2026-07-30T14:00:25.564518,debian,github,3,21024
2026-07-30T14:37:18.441420,machine learning,github,3,584
